"product_id","Подкатегория прайс-листа","Тип","Серия прайс-листа","Категория","Подразделение","Подкатегория","Наименование","Артикул","Бренд","Описание","Валюта РРЦ","PPЦ","Валюта дилерская","Дилерская цена","МИЦ","Валюта МИЦ","Параметри"
"100432230","","Вертикальні","емальований","Накопичувальні водонагрівачі","Тепло Київ","Електричні","Roda Aqua SMILE 80V","0304050119-100432230","Roda","Водонагрівач електричний накопичувальний, вертикальний, з мокрим теном, обладнаний механічним термостатом. Внутрішній бак покритий титановою емаллю. Водонагрівач обладнаний захисними функціями: захист від перегріву; захист від високого тиску; захист від спустошення баку; захист від корозії внутрішнього баку за допомогою магнієвого аноду; захист від замерзання. Зовнішній корпус виготовлений з металу та пофарбований у білий колір.","USD","119.6","USD","89.7","2849","грн."
"100430803","","Інше","","Очищувачі/Зволожувачі","Климат Київ","Ультразвукові зволожувачі","SP-25W","0102010001-100430803","Neoclima","","USD","56","USD","32","1399","грн."
"000014262","","Інше","","ККБ","ПРОМ Київ","Аксесуари","KHAIR0101AAA","0204070005-000014262","Carrier","Isolation Relay— (усі розміри 38EYX)","USD","56","USD","36","0.02","грн."
"000014264","","Інше","","ККБ","ПРОМ Київ","Аксесуари","KSALA0601AAA","0204070005-000014264","Carrier","Motormaster  (CKE size 18K-36K, 1 ф)","USD","870","USD","566","0.02","грн."
"000014266","","Інше","","ККБ","ПРОМ Київ","Аксесуари","KAACS0201PTC","0204070005-000014266","Carrier","Start Assit PTC - від 018 до036 одно-фазних","USD","71","USD","46","0.02","грн."
"000010210","","","","","ПРОМ Київ","","LV-BDTM 600x300","0","Lessar","","USD","82.03","EUR","68.08","0","грн."
"100432231","","Вертикальні","емальований","Накопичувальні водонагрівачі","Тепло Київ","Електричні","Roda Aqua SMILE 100V","0304050119-100432231","Roda","Водонагрівач електричний накопичувальний, вертикальний, з мокрим теном, обладнаний механічним термостатом. Внутрішній бак покритий титановою емаллю. Водонагрівач обладнаний захисними функціями: захист від перегріву; захист від високого тиску; захист від спустошення баку; захист від корозії внутрішнього баку за допомогою магнієвого аноду; захист від замерзання. Зовнішній корпус виготовлений з металу та пофарбований у білий колір.","USD","134.8","USD","101.1","3199","грн."
"000025846","","Канальний","","Вентиляція","ПРОМ Київ","Вентилятори","RVS 40/32-4D","0206010601-000025846","Neoclima","Дахові вентилятори  призначені для організації витяжки повітря і інших неагресивних невибухонебезпечних газових сумішей. Температурний діапазон переміщуваного повітря від -30 º до +40 º С (в деяких типорозмірах до 70 º С). Вентилятори виготовляються в зовнішньому виконанні. Вентилятори мають вертикальний викид повітря.","USD","80","USD","80","0.02","грн."
"000025847","","Канальний","","Вентиляція","ПРОМ Київ","Вентилятори","RVS 30/22-2E","0206010601-000025847","Neoclima","Дахові вентилятори  призначені для організації витяжки повітря і інших неагресивних невибухонебезпечних газових сумішей. Температурний діапазон переміщуваного повітря від -30 º до +40 º С (в деяких типорозмірах до 70 º С). Вентилятори виготовляються в зовнішньому виконанні. Вентилятори мають вертикальний викид повітря.","USD","80","USD","80","0.02","грн."
"000025841","","Електричні","","Вентиляція","ПРОМ Київ","Нагрівачі","ERC 100/2.5","0","Neoclima","Повітрянагрівач електричний для круглих каналів ERC","USD","25","USD","25","0.02","грн."
"100427075","On/Off","Спліт система настінного типу","UTAH","Кондиціонери побутові","Климат Київ","Побутовий","SAF-07UTH/SAN-07UTH","0101010824-100427075","SmartWay","Кондиціонер серії UTAH, On/Off. Клас енергоефективності ""А"", пиловий фільтр MEGA CATCH, мідні трубки з внутрішньою насічкою, функції :  SELF, AUTO RESTART, SLEEP, осушення повітря; режим TURBO SUPER, прихований LED дисплей, низький рівень шуму.","USD","228.51","USD","168","5899","грн."
"000025843","","Електричні","","Вентиляція","ПРОМ Київ","Нагрівачі","ESC 90-50/60","0206020001-000025843","Neoclima","Повітрянагрівач електричний для прямокутних каналів ERC","USD","100","USD","100","0.02","грн."
"100421499","","Інше","","ККБ","ПРОМ Київ","Тільки холод","NCU-25ZA","0204010001-100421499","Neoclima","Переваги:
1. Осьові вентилятори та вертикальний видув.  
2. Одно або двухконтурне виконання.
3. Металічна основа та корпус.                                             
4. ТРВ для кожного контура у подарунок                        
5. В моделях від 40 кВт 50% резервування.                      
6. Постачаються з ресивером та підігрівом картера компресора.                                                  
7. Компресори Panasonic.                                         
8. Широкий модельний ряд.","USD","4167","USD","2708","0.02","грн."
"100430937","","Припливно-витяжной моноблочний","","Вентиляція","ПРОМ Київ","Агрегати Установки","LMW-1300N","0206030319-000418638","Roda","Припливно-витяжна установка для систем вентиляції. Витрата повітря 1300 м³/год; тиск- 110 Па; Ефективність ркуператора охолодження 60%, обігрів -65%.","USD","1909","USD","1336","0.02","грн."
"100430936","","Припливно-витяжной моноблочний","","Вентиляція","ПРОМ Київ","Агрегати Установки","LMW-1100N","0206030319-000418638","Roda","Припливно-витяжна установка для систем вентиляції. Витрата повітря 1100 м³/год; тиск- 100 Па; Ефективність ркуператора охолодження 60%, обігрів -65%.","USD","1495","USD","1046","0.02","грн."
"100430935","","Припливно-витяжной моноблочний","","Вентиляція","ПРОМ Київ","Агрегати Установки","LMW-800N","0206030319-000418638","Roda","Припливно-витяжна установка для систем вентиляції. Витрата повітря 800 м³/год; тиск- 90 Па; Ефективність ркуператора охолодження 60%, обігрів -65%.","USD","1450","USD","1015","0.02","грн."
"100430934","","Припливно-витяжной моноблочний","","Вентиляція","ПРОМ Київ","Агрегати Установки","LMW-500N","0206030319-000418638","Roda","Припливно-витяжна установка для систем вентиляції. Витрата повітря 500 м³/год; тиск- 80 Па; Ефективність ркуператора охолодження 60%, обігрів -65%.","USD","977","USD","684","0.02","грн."
"100426145","Инвертор","Спліт система касетного типу","","Кондиціонери напівпромислові","Климат Київ","Напівпромисловий","CT09/UU09W/PT-UQC","0105021003-100426145","LG","Привід BLDC, зниженний рівень шуму.пiдвищенна енергоефективність, фільтр Plasma, можливість програмування на тиждень.","USD","817","USD","500","0.02","грн."
